"","Year Month","Hour","Victimisations","Territorial Authority","Area Unit","Crimes type","ANZSOC Division","ANZSOC Group"
"126","1/06/15",21,1,"Christchurch City.","Bishopdale North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"127","1/06/15",21,1,"Ashburton District.","Allenton East.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"128","1/06/15",22,1,"Christchurch City.","Ferrymead.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"129","1/06/15",23,1,"Christchurch City.","Belfast.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"130","1/05/15",99,1,"Ashburton District.","Plains Railway.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"131","1/05/15",99,1,"Ashburton District.","Chertsey.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"132","1/05/15",99,1,"Ashburton District.","Mt Somers.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"133","1/05/15",99,1,"Selwyn District.","Selwyn-Rakaia.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"134","1/05/15",99,1,"Selwyn District.","Selwyn-Rakaia.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"135","1/02/15",0,1,"Christchurch City.","Addington.","violent crimes","Acts Intended to Cause Injury","Serious Assault Resulting in Injury"
"136","1/02/15",15,1,"Christchurch City.","Aranui.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"137","1/02/15",16,1,"Waimakariri District.","Rangiora Central.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"138","1/02/15",17,1,"Christchurch City.","Linwood East.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"139","1/08/15",15,1,"Christchurch City.","Paparua.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"140","1/08/15",21,1,"Christchurch City.","Hornby South.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"141","1/08/15",21,1,"Christchurch City.","Hornby South.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"142","1/08/15",21,1,"Waimakariri District.","Rangiora North.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"143","1/04/15",99,1,"Waitaki District.","Omarama.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"144","1/05/15",22,1,"Christchurch City.","Spreydon.","violent crimes","Abduction, Harassment and Other Related Offences Against a Person","Abduction and Kidnapping"
"145","1/05/15",15,1,"Christchurch City.","Linwood East.","violent crimes","Abduction, Harassment and Other Related Offences Against a Person","Abduction and Kidnapping"
"146","1/05/15",14,1,"Ashburton District.","Hinds.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"147","1/04/15",99,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"148","1/04/15",99,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"149","1/04/15",99,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"150","1/04/15",99,1,"Christchurch City.","Sockburn.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"151","1/07/15",0,1,"Christchurch City.","Westburn.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"152","1/07/15",0,1,"Waimakariri District.","Kaiapoi South.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"153","1/07/15",1,1,"Christchurch City.","Cathedral Square.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"154","1/07/15",10,1,"Christchurch City.","Shirley East.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"155","1/06/15",6,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"156","1/06/15",99,1,"Selwyn District.","Kirwee.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"157","1/06/15",12,1,"Timaru District.","Seaview.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"158","1/06/15",16,1,"Timaru District.","Washdyke.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"159","1/06/15",99,1,"Timaru District.","Timaru Gardens.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"160","1/04/15",99,1,"Waimakariri District.","Southbrook.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"161","1/04/15",99,1,"Ashburton District.","Allenton East.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"162","1/04/15",99,1,"Ashburton District.","Hinds.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"163","1/04/15",99,1,"Christchurch City.","Yaldhurst.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"164","1/04/15",99,1,"Christchurch City.","Moncks Bay.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"165","1/02/15",99,1,"Ashburton District.","Ashburton Central West.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"166","1/02/15",14,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"167","1/02/15",15,1,"Christchurch City.","Fendalton.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"168","1/02/15",22,1,"Christchurch City.","Bexley.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"169","1/04/15",11,1,"Ashburton District.","Ashburton Central East.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"170","1/04/15",0,1,"Christchurch City.","Belfast.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"171","1/04/15",13,1,"Christchurch City.","Mairehau North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"172","1/04/15",13,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"173","1/04/15",13,1,"Kaikoura District.","Kaikoura Township.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"174","1/07/15",10,1,"Christchurch City.","Paparua.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"175","1/07/15",11,1,"Christchurch City.","Northcote.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"176","1/07/15",18,1,"Christchurch City.","Prestons.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"177","1/07/15",23,1,"Christchurch City.","Wainoni.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"178","1/02/15",7,1,"Christchurch City.","Redwood South.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"179","1/02/15",9,1,"Christchurch City.","Yaldhurst.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"180","1/02/15",19,1,"Christchurch City.","Sawyers Arms.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"181","1/02/15",99,1,"Christchurch City.","Moncks Bay.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"182","1/06/15",10,1,"Christchurch City.","Linwood East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"183","1/06/15",10,1,"Christchurch City.","Riccarton South.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"184","1/06/15",11,2,"Christchurch City.","Linwood East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"185","1/06/15",11,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Theft From Retail Premises"
