"","Year Month","Hour","Victimisations","Territorial Authority","Area Unit","Crimes type","ANZSOC Division","ANZSOC Group"
"8040","1/08/15",12,1,"Ashburton District.","Methven.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8041","1/08/15",13,1,"Christchurch City.","Northcote.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8042","1/08/15",13,1,"Christchurch City.","Middleton.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8043","1/08/15",14,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8044","1/08/15",15,1,"Christchurch City.","Linwood East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8045","1/08/15",15,1,"Christchurch City.","Richmond South.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8046","1/08/15",15,1,"Christchurch City.","Northcote.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8047","1/08/15",15,1,"Christchurch City.","Shirley East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8048","1/08/15",15,1,"Christchurch City.","Riccarton.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8049","1/08/15",15,1,"Christchurch City.","Styx.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8050","1/08/15",15,4,"Waimakariri District.","Kaiapoi South.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8051","1/08/15",16,1,"Christchurch City.","Shirley East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8052","1/08/15",16,2,"Christchurch City.","Middleton.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8053","1/08/15",17,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8054","1/08/15",18,1,"Christchurch City.","Linwood North.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8055","1/08/15",18,1,"Christchurch City.","Riccarton.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8056","1/08/15",19,1,"Christchurch City.","Phillipstown.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8057","1/08/15",19,1,"Christchurch City.","Waimairi Beach.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8058","1/08/15",20,1,"Christchurch City.","Wainoni.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8059","1/08/15",20,1,"Christchurch City.","St Martins.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8060","1/08/15",20,1,"Christchurch City.","Avonhead.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8061","1/08/15",21,1,"Christchurch City.","Richmond South.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8062","1/08/15",22,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8063","1/08/15",22,1,"Christchurch City.","Strowan.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8064","1/08/15",23,1,"Christchurch City.","Sockburn.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8065","1/08/15",9,1,"Christchurch City.","Richmond South.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8066","1/05/15",18,1,"Timaru District.","Waimataitai.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8067","1/05/15",15,1,"Christchurch City.","Bexley.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8068","1/05/15",2,1,"Ashburton District.","Methven.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8069","1/05/15",5,1,"Christchurch City.","St Albans East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8070","1/05/15",12,1,"Christchurch City.","Waltham.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8071","1/05/15",18,1,"Christchurch City.","Addington.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8072","1/05/15",4,1,"Christchurch City.","Woolston South.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8073","1/05/15",99,1,"Selwyn District.","Springston.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8074","1/05/15",15,1,"Christchurch City.","Hornby North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8075","1/05/15",15,1,"Hurunui District.","Hanmer Springs.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8076","1/05/15",23,1,"Christchurch City.","Avon Loop.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8077","1/05/15",99,1,"Christchurch City.","Travis Wetland.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8078","1/05/15",14,1,"Christchurch City.","Prestons.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8079","1/05/15",17,1,"Christchurch City.","Burnside.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8080","1/05/15",4,1,"Christchurch City.","Wainoni.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8081","1/05/15",9,1,"Christchurch City.","Sockburn.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8082","1/05/15",99,1,"Christchurch City.","Deans Bush.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8083","1/05/15",99,1,"Christchurch City.","Ensors.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8084","1/05/15",99,1,"Christchurch City.","Sydenham.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8085","1/05/15",99,1,"Waimakariri District.","Rangiora North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8086","1/05/15",99,1,"Christchurch City.","Belfast.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8087","1/05/15",99,1,"Christchurch City.","Woolston West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8088","1/05/15",99,1,"Christchurch City.","Papanui.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8089","1/05/15",99,1,"Christchurch City.","St Albans East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8090","1/05/15",99,1,"Christchurch City.","Mairehau North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8091","1/05/15",99,2,"Christchurch City.","Merrin.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8092","1/05/15",99,1,"Christchurch City.","Strowan.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8093","1/05/15",99,1,"Waimakariri District.","Mansfield.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8094","1/05/15",99,1,"Waimakariri District.","Rangiora East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8095","1/05/15",99,1,"Waimakariri District.","Rangiora Central.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8096","1/05/15",99,1,"Christchurch City.","Sawyers Arms.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8097","1/05/15",99,1,"Selwyn District.","Selwyn-Rakaia.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8098","1/05/15",99,1,"Christchurch City.","Travis.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8099","1/05/15",99,1,"Christchurch City.","Waltham.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8100","1/05/15",99,1,"Waimakariri District.","West Eyreton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8101","1/05/15",99,1,"Ashburton District.","Ashburton Central West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8102","1/05/15",99,1,"Ashburton District.","Rakaia.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8103","1/05/15",99,1,"Christchurch City.","Phillipstown.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8104","1/05/15",99,1,"Timaru District.","Geraldine.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8105","1/05/15",99,1,"Timaru District.","Geraldine.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8106","1/05/15",1,1,"Christchurch City.","Northcote.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8107","1/05/15",20,1,"Christchurch City.","Cathedral Square.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8108","1/05/15",99,1,"Christchurch City.","St Albans East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8109","1/05/15",15,1,"Christchurch City.","Hornby North.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8110","1/08/15",9,1,"Christchurch City.","Edgeware.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8111","1/08/15",99,1,"Christchurch City.","Linwood North.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8112","1/08/15",99,1,"Christchurch City.","Opawa.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8113","1/08/15",18,1,"Mackenzie District.","Fairlie.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8114","1/08/15",11,1,"Waimakariri District.","Rangiora North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8115","1/04/15",11,1,"Christchurch City.","Wigram.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"8116","1/04/15",99,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8117","1/04/15",99,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8118","1/04/15",99,1,"Christchurch City.","Woolston West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8119","1/07/15",11,1,"Christchurch City.","Wharenui.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8120","1/07/15",99,3,"Christchurch City.","Riccarton.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8121","1/07/15",99,1,"Selwyn District.","Lincoln.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8122","1/07/15",99,2,"Christchurch City.","Travis Wetland.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8123","1/07/15",99,1,"Ashburton District.","Ashburton Central East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8124","1/02/15",99,1,"Christchurch City.","Waltham.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8125","1/02/15",99,1,"Christchurch City.","Cashmere West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8126","1/02/15",99,1,"Christchurch City.","Opawa.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8127","1/02/15",99,1,"Christchurch City.","Addington.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8128","1/05/15",99,1,"Waimakariri District.","Woodend Beach.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8129","1/05/15",99,1,"Waimakariri District.","Rangiora West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8130","1/05/15",99,1,"Waimakariri District.","Rangiora Central.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8131","1/05/15",99,1,"Waimakariri District.","Woodend.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8132","1/05/15",99,1,"Waimakariri District.","Pegasus.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8133","1/04/15",99,1,"Christchurch City.","Riccarton West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8134","1/04/15",99,1,"Waimakariri District.","Woodend.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8135","1/04/15",99,1,"Ashburton District.","Hampstead.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8136","1/04/15",99,1,"Christchurch City.","Ferrymead.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8137","1/04/15",99,1,"Christchurch City.","Casebrook.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8138","1/02/15",20,1,"Christchurch City.","Jellie Park.","violent crimes","Robbery, Extortion and Related Offences","Aggravated Robbery"
"8139","1/02/15",21,1,"Christchurch City.","Upper Riccarton.","violent crimes","Robbery, Extortion and Related Offences","Aggravated Robbery"
"8140","1/02/15",7,1,"Christchurch City.","Aranui.","violent crimes","Robbery, Extortion and Related Offences","Aggravated Robbery"
"8141","1/02/15",2,2,"Christchurch City.","Merivale.","violent crimes","Robbery, Extortion and Related Offences","Non-Aggravated Robbery"
"8142","1/07/15",2,1,"Christchurch City.","Shirley East.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8143","1/07/15",2,1,"Christchurch City.","Merivale.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8144","1/07/15",21,1,"Christchurch City.","Shirley West.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8145","1/07/15",99,1,"Christchurch City.","Cashmere West.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8146","1/05/15",20,1,"Christchurch City.","Middleton.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8147","1/05/15",22,1,"Christchurch City.","Mona Vale.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8148","1/05/15",14,1,"Waimate District.","Waihao.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8149","1/05/15",5,1,"Ashburton District.","Ashburton Central West.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8150","1/05/15",19,1,"Kaikoura District.","Kaikoura Township.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8151","1/06/15",99,1,"Christchurch City.","Waimairi Beach.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8152","1/06/15",99,1,"Christchurch City.","Styx Mill.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8153","1/06/15",99,1,"Christchurch City.","Cashmere East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8154","1/06/15",99,1,"Christchurch City.","Cashmere East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8155","1/03/15",99,1,"Christchurch City.","Avonhead West.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8156","1/03/15",99,1,"Christchurch City.","Riccarton West.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8157","1/03/15",99,1,"Kaikoura District.","Kaikoura Rural.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8158","1/03/15",99,1,"Waimakariri District.","Kaiapoi East.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8159","1/03/15",99,1,"Christchurch City.","Belfast.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8160","1/08/15",11,1,"Christchurch City.","Belfast.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8161","1/08/15",12,1,"Christchurch City.","Redwood North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8162","1/08/15",12,1,"Christchurch City.","Wigram.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8163","1/08/15",13,1,"Christchurch City.","Belfast.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8164","1/02/15",99,1,"Christchurch City.","Addington.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8165","1/02/15",99,1,"Christchurch City.","Spreydon.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8166","1/02/15",99,1,"Christchurch City.","Ilam.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8167","1/02/15",99,1,"Christchurch City.","Upper Riccarton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8168","1/05/15",99,1,"Christchurch City.","Belfast.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8169","1/05/15",99,1,"Christchurch City.","Belfast.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8170","1/05/15",99,1,"Christchurch City.","Belfast South.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8171","1/05/15",99,1,"Ashburton District.","Ashburton North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8172","1/05/15",99,1,"Ashburton District.","Ashburton East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8173","1/04/15",99,1,"Christchurch City.","St Albans West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8174","1/04/15",99,1,"Christchurch City.","Riccarton South.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8175","1/04/15",99,1,"Christchurch City.","Jellie Park.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8176","1/04/15",99,1,"Hurunui District.","Leithfield.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8177","1/07/15",0,1,"Christchurch City.","Ensors.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8178","1/07/15",99,1,"Timaru District.","Marchwiel.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8179","1/07/15",14,1,"Christchurch City.","Linwood East.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8180","1/07/15",14,1,"Ashburton District.","Allenton West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8181","1/07/15",16,1,"Christchurch City.","Linwood North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8182","1/07/15",99,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8183","1/07/15",99,1,"Christchurch City.","Islington.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8184","1/07/15",99,2,"Christchurch City.","Spreydon.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8185","1/07/15",99,1,"Christchurch City.","Riccarton.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8186","1/05/15",20,1,"Christchurch City.","Cathedral Square.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8187","1/05/15",23,2,"Christchurch City.","Cathedral Square.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8188","1/05/15",23,1,"Christchurch City.","Sydenham.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8189","1/05/15",22,1,"Selwyn District.","Malvern.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"8190","1/04/15",99,1,"Christchurch City.","Cashmere West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8191","1/04/15",99,1,"Christchurch City.","Cashmere West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8192","1/04/15",16,1,"Timaru District.","Pareora.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8193","1/04/15",7,1,"Timaru District.","Fraser Park.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8194","1/04/15",99,1,"Timaru District.","Temuka.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8195","1/03/15",99,1,"Christchurch City.","Belfast South.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8196","1/03/15",99,1,"Ashburton District.","Allenton East.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8197","1/03/15",99,1,"Ashburton District.","Methven.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8198","1/03/15",99,1,"Timaru District.","Gleniti.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"8199","1/03/15",99,2,"Christchurch City.","Phillipstown.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8200","1/06/15",99,1,"Christchurch City.","Opawa.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8201","1/06/15",99,1,"Christchurch City.","Westmorland.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8202","1/06/15",99,2,"Christchurch City.","Oaklands West.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8203","1/06/15",99,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8204","1/08/15",13,1,"Ashburton District.","Ashburton Central West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8205","1/08/15",14,1,"Christchurch City.","Westburn.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8206","1/08/15",15,1,"Christchurch City.","Shirley West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8207","1/08/15",15,1,"Christchurch City.","Strowan.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8208","1/04/15",99,1,"Christchurch City.","Bishopdale North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8209","1/04/15",99,1,"Waimakariri District.","Oxford.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8210","1/04/15",99,1,"Waimakariri District.","Mairaki.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8211","1/04/15",99,1,"Waimakariri District.","Kaiapoi North West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8212","1/04/15",99,1,"Waimakariri District.","Clarkville.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"8213","1/02/15",99,1,"Christchurch City.","Sockburn.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8214","1/02/15",99,1,"Ashburton District.","Allenton West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8215","1/02/15",99,1,"Selwyn District.","Prebbleton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8216","1/02/15",99,1,"Selwyn District.","Springston.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8217","1/02/15",99,1,"Christchurch City.","Riccarton West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8218","1/05/15",99,1,"Ashburton District.","Ashburton Central West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8219","1/05/15",99,1,"Ashburton District.","Netherby.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8220","1/05/15",99,1,"Ashburton District.","Netherby.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8221","1/05/15",99,1,"Ashburton District.","Ashburton Central East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8222","1/05/15",99,1,"Selwyn District.","Selwyn-Rakaia.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8223","1/07/15",1,2,"Christchurch City.","Linwood North.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8224","1/07/15",1,2,"Christchurch City.","Dallington.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8225","1/07/15",1,1,"Christchurch City.","Dallington.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8226","1/07/15",1,1,"Christchurch City.","Addington.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"8227","1/02/15",11,1,"Timaru District.","Parkside.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8228","1/02/15",11,2,"Christchurch City.","South Brighton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8229","1/02/15",14,1,"Christchurch City.","Phillipstown.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"8230","1/02/15",20,1,"Christchurch City.","Phillipstown.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
