"","Date","Time","eventtype","longitude","latitude","magnitude","depth"
"86",2015-11-22," 13:15:34",NA,171.7888499,-42.99105798,2.426532384,10.15625
"87",2015-11-22," 09:45:50","earthquake",172.1884003,-43.49401855,2.151199838,3.292957783
"88",2015-11-22," 04:41:35",NA,172.7784544,-43.48113013,2.084891277,8.515625
"89",2015-11-21," 23:42:55",NA,172.3272748,-43.53169577,1.683345719,9.921875
"90",2015-11-21," 08:28:53",NA,172.7334346,-43.59169675,2.42070378,9.921875
"91",2015-11-21," 02:04:12",NA,173.7243616,-42.44268817,1.992499715,19.53125
"92",2015-11-20," 17:22:50","earthquake",172.8674011,-42.28399277,2.702795841,3.629901648
"93",2015-11-20," 05:17:40",NA,173.0398619,-42.23920259,2.445101718,22.34375
"94",2015-11-19," 04:23:59",NA,172.7379261,-42.18366236,2.318866493,19.53125
"95",2015-11-18," 05:12:06","earthquake",173.7933044,-42.47636414,2.74007962,12.61067486
"96",2015-11-18," 02:40:47",NA,172.0092997,-43.19446542,2.348547405,16.71875
"97",2015-11-17," 14:49:16",NA,173.6276024,-42.38314244,2.381747197,60.78125
"98",2015-11-16," 09:58:04",NA,172.1257137,-43.43576843,1.571087824,9.453125
"99",2015-11-16," 09:23:22",NA,172.9204796,-42.09884357,2.090727868,53.28125
"100",2015-11-15," 23:11:04",NA,171.1094328,-44.13514206,1.836774952,5.234375
"101",2015-11-15," 15:48:22",NA,172.3429388,-43.60227192,1.959480501,9.921875
"102",2015-11-15," 13:04:11",NA,172.1878513,-43.56278427,1.746469809,9.921875
"103",2015-11-15," 07:47:59","earthquake",173.1704559,-42.20833206,2.692254696,12
"104",2015-11-15," 00:23:15","earthquake",172.7363281,-43.48683929,2.12278434,4.744266033
"105",2015-11-13," 22:09:41",NA,173.1707429,-42.08945833,2.593261178,50.46875
"106",2015-11-13," 11:37:07",NA,172.8394201,-42.39028202,2.254771178,21.40625
"107",2015-11-12," 13:59:08","earthquake",172.9213573,-42.38598604,3.060868671,45.78125
"108",2015-11-10," 17:27:53",NA,172.3603547,-43.64618125,2.298396159,9.453125
"109",2015-11-10," 12:18:30",NA,172.3662052,-43.66638457,1.785446109,9.453125
"110",2015-11-10," 12:11:02","earthquake",172.3692474,-43.63861465,3.440410209,4.288797379
"111",2015-11-10," 09:39:05",NA,172.7870653,-43.48638416,2.021359919,9.921875
"112",2015-11-10," 07:35:33",NA,173.0675606,-43.44515068,2.153283145,34.53125
"113",2015-11-09," 18:02:47",NA,173.8592013,-42.45995022,2.041485114,22.34375
"114",2015-11-09," 16:30:56",NA,172.0697196,-42.9899602,2.49021497,9.921875
"115",2015-11-09," 15:00:17",NA,173.6524887,-42.07014597,2.073666464,20.46875
"116",2015-11-09," 14:57:25",NA,173.6266883,-42.07606759,1.982645712,24.21875
"117",2015-11-09," 11:11:26",NA,172.422313,-43.60369924,1.894321679,10.15625
"118",2015-11-09," 10:49:06",NA,172.1315743,-43.48937301,1.887346554,10.390625
"119",2015-11-09," 03:09:29",NA,172.0126029,-43.19372522,2.214873572,9.921875
"120",2015-11-09," 01:56:06",NA,173.762486,-42.43878884,1.998880311,19.0625
"121",2015-11-08," 14:19:22",NA,172.4275893,-43.60969348,2.286709232,9.921875
"122",2015-11-08," 08:15:57",NA,173.062738,-43.28811057,2.350365431,29.84375
"123",2015-11-08," 06:04:17",NA,172.8423816,-43.44289101,2.115512688,10.859375
"124",2015-11-07," 23:07:00","earthquake",172.6768799,-42.46960831,2.492426853,6.441766262
"125",2015-11-07," 11:52:10",NA,172.7775752,-43.48611322,2.258973996,9.921875
"126",2015-11-06," 06:13:09",NA,171.8544678,-43.55828445,2.142178911,9.921875
"127",2015-11-05," 19:27:42",NA,172.3799284,-43.59163815,2.473843635,9.921875
"128",2015-11-05," 13:53:25","earthquake",169.9310913,-44.32997894,2.62793375,4.018809319
"129",2015-11-05," 13:27:02",NA,172.4959555,-43.60162387,1.580286271,9.921875
"130",2015-11-04," 11:42:11",NA,170.4792834,-44.25436774,1.97023334,5.234375
"131",2015-11-04," 06:47:52",NA,172.7721552,-43.6428824,2.048124049,8.046875
"132",2015-11-04," 06:30:37","earthquake",172.0711517,-43.1788559,2.525568653,5.280589581
"133",2015-11-03," 08:00:22",NA,172.0906219,-43.17521667,2.444196556,5.025191307
"134",2015-11-03," 03:34:52","earthquake",173.0458858,-43.09066381,2.916450349,34.53125
"135",2015-11-01," 19:50:29",NA,172.2251623,-43.61895302,1.79369594,9.921875
"136",2015-11-01," 09:15:34",NA,172.0303558,-43.08234578,2.156612617,10.390625
"137",2015-11-01," 05:51:34","earthquake",171.6797638,-43.61170197,1.955377715,4.147767544
"138",2015-10-31," 21:10:10","earthquake",171.1664886,-43.48718262,2.828627816,5
