publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2015p175832,earthquake,2015-03-07T01:23:44.647Z,2015-03-15T08:15:13.737Z,172.26047679999999218,-43.60033903000000066,3.00551969499999982,10.03906250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,25,15,11,0.15311241140000001,94.12201262000000668,0.54491564010000004,0.00000000000000000
2015p174542,earthquake,2015-03-06T13:55:58.077Z,2015-03-13T01:30:44.729Z,172.91858999999999469,-42.43869680000000244,2.77575633899999996,7.51953125000000000,M,,NonLinLoc,confirmed,manual,nz3drx,15,13,8,0.10806625220000000,83.63063988999999765,0.21190946939999999,0.00000000000000000
2015p171910,,2015-03-05T14:33:46.000Z,2015-03-05T15:01:58.086Z,171.99209629999998583,-44.02397197999999889,2.60368463700000019,15.31250000000000000,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.13784914249999999,153.97663979999998674,0.68712645080000001,0.00000000000000000
2015p171625,earthquake,2015-03-05T12:01:47.648Z,2015-03-06T00:48:53.345Z,172.84387480000000892,-42.45509856999999698,2.54084246300000016,10.03906250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,23,20,13,0.51450264430000003,78.98966514999999333,0.49974527450000000,0.00000000000000000
2015p171105,,2015-03-05T07:24:45.283Z,2015-03-05T08:55:14.554Z,172.34026800000000890,-43.25760249999999729,2.21232295700000003,14.43359375000000000,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.22969110790000000,100.73225109999999916,0.53098865470000001,0.00000000000000000
2015p170784,,2015-03-05T04:33:52.793Z,2015-03-05T07:50:08.500Z,172.20599619999998708,-43.31992122999999850,2.14529959100000012,8.63281250000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.12227636030000000,97.34436350000000004,0.45284134420000000,0.00000000000000000
2015p170644,,2015-03-05T03:19:20.807Z,2015-03-05T03:58:06.094Z,172.20122860000000742,-43.31143544999999762,2.05907429099999995,10.03906250000000000,M,,NonLinLoc,,automatic,nz3drx,9,9,6,0.11945969800000000,101.95060150000000476,0.20122932339999999,0.00000000000000000
2015p170344,,2015-03-05T00:39:29.430Z,2015-03-05T01:17:57.871Z,171.77574319999999375,-43.05957553999999732,2.31871923299999994,12.14843750000000000,M,,NonLinLoc,,automatic,nz3drx,17,17,9,0.32982594749999999,103.81417570000000694,0.47983510410000002,0.00000000000000000
2015p169582,,2015-03-04T17:53:33.649Z,2015-03-04T17:56:42.795Z,172.14205060000000458,-43.50136149000000074,2.19930623800000014,7.57812500000000000,M,,NonLinLoc,,automatic,nz3drx,13,13,9,0.19177677220000000,71.49251671999999758,0.30942658400000000,0.00000000000000000
2015p166877,,2015-03-03T17:52:14.555Z,2015-03-03T17:54:52.666Z,173.70384139999998752,-42.09917862999999727,2.42947667400000000,44.14062500000000000,M,,NonLinLoc,,automatic,nz3drx,21,21,16,0.34027099669999999,130.82523720000000367,0.38370864550000000,0.00000000000000000
2015p164736,,2015-03-02T22:51:32.017Z,2015-03-02T22:53:32.911Z,172.82105690000000209,-43.45125459999999862,2.41770580699999993,13.14453125000000000,M,,NonLinLoc,,automatic,nz3drx,15,15,8,0.28316598620000000,120.48217710000000125,0.58007862929999998,0.00000000000000000
2015p163353,earthquake,2015-03-02T10:34:46.704Z,2015-03-02T19:53:24.269Z,172.79653690000000665,-43.46870870000000053,2.55573050899999998,11.67968750000000000,M,,NonLinLoc,confirmed,manual,nz3drx,17,16,13,0.25997412809999998,115.71117470000000083,0.27728770409999998,0.00000000000000000
2015p163061,,2015-03-02T07:59:00.150Z,2015-03-02T08:01:07.761Z,172.97489909999998758,-41.94268890000000027,2.01153862999999999,75.54687500000000000,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.18592591740000000,71.08268737999999587,0.22018791970000001,0.00000000000000000
2015p162905,earthquake,2015-03-02T06:36:17.693Z,2015-03-02T19:55:05.923Z,172.50290350000000217,-43.62039637000000170,2.27474625400000008,10.09765625000000000,M,,NonLinLoc,confirmed,manual,nz3drx,14,10,8,0.14020897430000001,107.41762040000000411,0.39712363820000002,0.00000000000000000
2015p160543,earthquake,2015-03-01T09:37:37.346Z,2015-03-01T21:16:53.331Z,172.54504579999999692,-43.57453560999999809,3.03757799300000020,5.02929687500000000,M,,NonLinLoc,confirmed,manual,nz3drx,33,33,18,0.03861126710000000,71.04019725999999935,0.23826115830000000,0.00000000000000000
2015p159446,,2015-02-28T23:53:18.118Z,2015-02-28T23:56:54.136Z,172.89367920000000822,-41.83681490000000025,2.72826945299999979,65.70312500000000000,M,,NonLinLoc,,automatic,nz3drx,31,31,19,0.07307955490000000,68.32391364000000067,0.61361561939999998,0.00000000000000000
2015p159199,,2015-02-28T21:41:23.941Z,2015-02-28T21:43:21.289Z,172.50010900000000902,-43.61384697999999815,2.14777150900000002,11.67968750000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.14594973550000001,92.27209059000000480,0.14477483990000001,0.00000000000000000
2015p158944,,2015-02-28T19:25:42.284Z,2015-02-28T19:59:59.891Z,172.71908980000000611,-43.49320800000000276,2.41835271599999979,12.14843750000000000,M,,NonLinLoc,,automatic,nz3drx,16,16,10,0.21939478830000000,96.87941304999999659,0.35176800110000001,0.00000000000000000
2015p158510,,2015-02-28T15:34:17.211Z,2015-02-28T17:51:49.660Z,172.54720430000000420,-43.61769323000000043,2.28812262799999999,9.10156250000000000,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.11887623640000000,83.89743407000000275,0.23472630010000001,0.00000000000000000
2015p158271,earthquake,2015-02-28T13:27:08.379Z,2015-02-28T19:17:58.914Z,172.55201719999999455,-43.56710051999999678,3.46923734900000014,5.76887941399999971,M,,LOCSAT,confirmed,manual,iasp91,42,35,15,0.03116408363000000,58.29890441999999950,0.44854038070000002,0.00000000000000000
2015p156080,,2015-02-27T17:59:51.211Z,2015-02-27T18:03:46.356Z,172.71059089999999969,-43.49630427999999682,1.96856752200000007,13.55468750000000000,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.21513658780000000,95.78724139000000548,0.49332811479999999,0.00000000000000000
2015p155716,earthquake,2015-02-27T14:45:31.634Z,2015-03-04T04:03:13.057Z,172.70176870000000235,-43.48332281999999793,3.28577051099999995,9.98046875000000000,M,,NonLinLoc,confirmed,manual,nz3drx,37,34,12,0.01815161357000000,102.79893069999999966,0.51706424910000004,0.00000000000000000
2015p154666,earthquake,2015-02-27T05:26:18.012Z,2015-02-27T05:37:58.115Z,172.65449639999999931,-43.47654717999999718,2.81349297999999992,9.74609375000000000,M,,NonLinLoc,confirmed,manual,nz3drx,28,26,3,0.02454530257000000,85.51519575000000373,0.24142423069999999,0.00000000000000000
2015p153931,earthquake,2015-02-26T22:54:54.504Z,2015-02-27T00:18:40.038Z,172.17970990000000597,-43.48699039000000255,2.76639960299999998,5.11718750000000000,M,,NonLinLoc,confirmed,manual,nz3drx,20,18,12,0.18279243900000000,60.23174251999999740,0.40411096769999999,0.00000000000000000
2015p151694,earthquake,2015-02-26T03:02:45.964Z,2015-02-26T09:09:53.945Z,172.79933679999999185,-42.90203386999999680,2.68112271599999996,19.41406250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,15,12,9,0.18452720589999999,62.47351668000000302,0.32534399559999999,0.00000000000000000
2015p151461,earthquake,2015-02-26T00:58:28.225Z,2015-02-26T09:06:38.128Z,172.77105710000000727,-42.87758636000000223,2.66200513699999997,5.60369777699999982,M,,LOCSAT,confirmed,manual,iasp91,14,12,8,0.21346797049999999,63.84173965000000095,0.35829813710000002,0.00000000000000000
2015p149609,,2015-02-25T08:31:53.150Z,2015-02-25T08:33:34.874Z,172.55319629999999620,-43.61097694000000047,2.53507830200000006,11.50390625000000000,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.12138998290000000,80.24506841999999551,0.15839671720000001,0.00000000000000000
2015p145376,earthquake,2015-02-23T18:56:46.747Z,2015-02-23T23:00:20.907Z,172.65369580000000838,-43.53892176000000092,2.53907269599999985,13.55468750000000000,M,,NonLinLoc,confirmed,manual,nz3drx,15,12,10,0.16874765380000001,92.01968257000000051,0.37806757520000001,0.00000000000000000
2015p145197,,2015-02-23T17:21:27.564Z,2015-02-23T17:24:39.995Z,171.89887369999999578,-43.55078326999999661,2.24262449999999980,8.16406250000000000,M,,NonLinLoc,,automatic,nz3drx,15,15,11,0.24535580690000000,50.57093022000000104,0.31876716510000003,0.00000000000000000
2015p143921,,2015-02-23T06:01:31.463Z,2015-02-23T06:03:32.284Z,172.32640839999999116,-43.69196763000000061,2.05003601399999980,8.51562500000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.13890881850000000,127.20517470000000060,0.36930065410000001,0.00000000000000000
2015p142319,earthquake,2015-02-22T15:47:43.819Z,2015-02-22T21:11:26.239Z,172.50047480000000633,-43.57670839000000029,2.83939292300000012,12.26562500000000000,M,,NonLinLoc,confirmed,manual,nz3drx,19,15,11,0.29994758230000002,111.66689739999999631,0.36253426239999997,0.00000000000000000
2015p140395,,2015-02-21T22:42:45.305Z,2015-02-21T22:44:26.542Z,172.55187399999999798,-43.60947837999999877,2.15533016600000016,11.67968750000000000,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.12316713020000000,94.05880602000000579,0.16649897429999999,0.00000000000000000
2015p140152,,2015-02-21T20:33:16.065Z,2015-02-21T20:34:38.312Z,172.61855700000000979,-43.43315668999999701,1.97924489700000006,22.10937500000000000,M,,NonLinLoc,,automatic,nz3drx,8,8,5,0.27580199470000000,99.14484242000000336,0.06340948898000000,0.00000000000000000
2015p139836,earthquake,2015-02-21T17:44:59.761Z,2015-02-21T18:49:04.789Z,172.29446970000000761,-43.24397511000000094,2.30571252900000001,14.25781250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,18,14,8,0.20309371440000001,55.27140808000000050,0.52214054320000003,0.00000000000000000
